source	target	status
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_10.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_10.csv	success
Vedio_Analysis/01_Data/Raw/Green_D75_raw_data.csv	Vedio_Analysis/01_Data/Raw/Green_D015_T16.250_L03.071_W09.87_raw_data.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_09.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_09.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_05.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_05.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_13.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_13.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_07.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_07.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_analysis_metrics.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_analysis_metrics.csv	success
Vedio_Analysis/03_Results/Plots/Green_D75_raw_data_segment_01_trajectory.png	Vedio_Analysis/03_Results/Plots/Green_D015_T16.250_L03.071_W09.87_raw_data_segment_01_trajectory.png	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_12.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_12.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_15.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_15.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_11.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_11.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_08.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_08.csv	success
Vedio_Analysis/03_Results/Plots/Green_D75_raw_data_segments_summary.png	Vedio_Analysis/03_Results/Plots/Green_D015_T16.250_L03.071_W09.87_raw_data_segments_summary.png	success
Vedio_Analysis/03_Results/Plots/Green_D75_raw_data_segment_02_trajectory.png	Vedio_Analysis/03_Results/Plots/Green_D015_T16.250_L03.071_W09.87_raw_data_segment_02_trajectory.png	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_02.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_02.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_14.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_14.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_01.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_01.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_03.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_03.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_06.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_06.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_04.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_04.csv	success
Vedio_Analysis/01_Data/Processed/Green_D75_raw_data_cleaned_segment_16.csv	Vedio_Analysis/01_Data/Processed/Green_D015_T16.250_L03.071_W09.87_raw_data_cleaned_segment_16.csv	success
