source	target	status
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_10.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_10.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_11.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_11.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_12.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_12.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_13.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_13.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_14.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_14.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_15.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_15.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_16.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_16.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_17.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_17.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T173_raw_data_cleaned_segment_18.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.300_L05.190_W17.30_raw_data_cleaned_segment_18.csv	SUCCESS
Vedio_Analysis/01_Data/Processed/Pink_D45_T176_raw_data_analysis_metrics.csv	Vedio_Analysis/01_Data/Processed/Pink_D045_T17.600_L05.280_W17.04_raw_data_analysis_metrics.csv	SUCCESS
