omega,samples,displacement_xz_m,max_speed_xz_mps,max_abs_wy_rps,fig_count,telemetry_csv,run_dir
7.8,4001,0.490976,1.725512,19.809825,3,flipo_omega7.8_run09_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega7.8
7.9,4001,0.497795,1.722944,20.010069,3,flipo_omega7.9_run10_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega7.9
8.0,4001,0.499978,1.753911,20.266723,3,flipo_omega8.0_run11_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.0
8.1,4001,0.502484,1.804191,20.080860,3,flipo_omega8.1_run12_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.1
8.2,4001,0.504845,1.842312,20.158661,3,flipo_omega8.2_run13_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.2
8.3,4001,0.510025,1.867796,19.766875,3,flipo_omega8.3_run14_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.3
8.4,4001,0.508243,1.893289,19.699990,3,flipo_omega8.4_run15_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.4
8.5,4001,0.512815,1.906030,19.488462,3,flipo_omega8.5_run16_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.5
8.6,4001,0.528297,1.931515,19.015055,3,flipo_omega8.6_run17_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.6
8.7,4001,0.510110,1.944310,19.141570,3,flipo_omega8.7_run18_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.7
8.8,4001,0.236061,1.969724,18.807879,3,flipo_omega8.8_run19_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.8
8.9,4001,0.529302,1.982423,18.604320,3,flipo_omega8.9_run20_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega8.9
9.0,4001,0.241322,2.007743,17.535054,3,flipo_omega9.0_run21_telemetry.csv,d:/HIT/CUPT/Flipo_Flip\outputs\sweep_BHWSmujoco_TPU1200_omega7.0-9.0_20260411_141839\run_omega9.0
