frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s,y_up_mm,y_physical_mm,y_physical_mm_interp,v_mm_s,v_m_s,omega_rad_s_energy,ep_j,ek_trans_j,ek_rot_j,e_total_j,ep_j_per_kg,ek_trans_j_per_kg,ek_rot_j_per_kg,e_total_j_per_kg
1174,4.891289659601799,684.0034545898437,835.8413635253905,-12.894,126.17842945429328,154.18803781599317,-12.894,13.47255749515147,18.98127136218889,26.05351766644496,26.05351766644496,247.96506904299605,0.24796506904299606,13.47255749515147,0.25558500830782505,0.030743337732748902,0.037814542804200435,0.3241428888447744,0.25558500830782505,0.030743337732748902,0.037814542804200435,0.3241428888447744
1175,4.895456005138086,689.6030639648437,834.260430908203,-9.335,127.21139195141797,153.89640245454694,-9.335,12.67409191290245,19.272906723635117,26.070865485379006,26.070865485379006,270.8254328546419,0.2708254328546419,12.67409191290245,0.2557551904115681,0.03667320754045207,0.03346512621181236,0.3258935241638325,0.2557551904115681,0.03667320754045207,0.03346512621181236,0.3258935241638325
1176,4.899622350674374,696.236181640625,833.6516296386718,-6.843,128.43500619649143,153.78409660649345,-6.843,10.22016669164936,19.385212571688612,26.077545956182014,26.077545956182014,261.9704217388169,0.2619704217388169,10.22016669164936,0.25582072583014553,0.034314250933006794,0.02176079316772897,0.3118957699308813,0.25582072583014553,0.034314250933006794,0.02176079316772897,0.3118957699308813
1177,4.903788696210661,701.4362609863281,833.0068847656249,-4.456,129.39426720676215,153.6651602254944,-4.456,9.777444290627283,19.50414895268767,26.08462084172405,26.08462084172405,252.90834759453958,0.25290834759453956,9.777444290627283,0.25589013045731296,0.031981316141500224,0.019916336845066683,0.30778778344387986,0.25589013045731296,0.031981316141500224,0.019916336845066683,0.30778778344387986
1178,4.907955041746949,707.6600280761718,832.3970764160156,-2.175,130.54236836241597,153.55266860091925,-2.175,8.889717649454537,19.616640577262814,26.09131236337303,26.09131236337303,233.8627075198771,0.2338627075198771,8.889717649454537,0.25595577428468946,0.027345882984263787,0.016463974976463232,0.29976563224541647,0.25595577428468946,0.027345882984263787,0.016463974976463232,0.29976563224541647
1179,4.9121213872832366,712.0,832.5,,131.3429649640117,153.57165496143222,-0.211,8.224663084423106,19.597654216749845,26.09018296691452,26.09018296691452,251.04737957025245,0.25104737957025247,8.224663084423106,0.2559446949054314,0.03151239339454521,0.01409272559422338,0.3015498138942,0.2559446949054314,0.03151239339454521,0.01409272559422338,0.3015498138942
1180,4.916287732819525,719.0,833.0,,132.6342581588826,153.6638901896373,1.752,8.224663084423106,19.50541898854476,26.084696389325615,26.084696389325615,286.6431840073474,0.2866431840073474,8.224663084423106,0.2558908715792843,0.04108215746893501,0.01409272559422338,0.3110657546424427,0.2558908715792843,0.04108215746893501,0.01409272559422338,0.3110657546424427
1181,4.920454078355812,724.9478271484375,833.3336303710937,3.715,133.7314565476034,153.72543513646522,3.715,8.823410813497627,19.44387404171684,26.081035411491577,26.081035411491577,262.8072842319205,0.2628072842319205,8.823410813497627,0.25585495738673236,0.03453383432267873,0.0162192871632806,0.3066080788726917,0.25585495738673236,0.03453383432267873,0.0162192871632806,0.3066080788726917
1182,4.9246204238921,730.8712158203125,833.3470153808593,5.964,134.8241467593988,153.72790427532573,5.964,10.737805260384782,19.441404902856334,26.080888535702364,26.080888535702364,270.8286776257,0.27082867762569995,10.737805260384782,0.2558535165352402,0.03667408631224266,0.024020929543738984,0.3165485323912218,0.2558535165352402,0.03667408631224266,0.024020929543738984,0.3165485323912218
1183,4.928786769428387,737.1813537597657,833.8626708984375,8.842,135.98818078510058,153.8230274840038,8.842,10.632940203804688,19.34628169417826,26.07523016768969,26.07523016768969,275.92193173722774,0.27592193173722773,10.632940203804688,0.2557980079450359,0.03806645620680168,0.02355404528701794,0.31741850943885547,0.2557980079450359,0.03806645620680168,0.02355404528701794,0.31741850943885547
