frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s
18207,75.85621466763006,742.7065246582031,829.7917968749999,5025.379,137.0074115824793,153.07207149491214,5025.379,7.054768923517258
18208,75.86038098908156,746.0010070800781,829.2892883300781,5026.908,137.61514625847772,152.9793735142804,5026.908,5.974920766062496
18209,75.86454731053307,748.5980895996094,828.7608154296875,5028.232,138.09423125619043,152.88188587714495,5028.232,6.307272855961855
18210,75.86871363198459,751.2957824707031,828.2763061523436,5029.919,138.59187589137545,152.7925082296184,5029.919,4.829962912350311
18211,75.8728799534361,753.5081115722656,828.0486328124999,5030.538,138.9999852504701,152.750509224705,5030.538,1.6924406098460167
18212,75.8770462748876,755.8634948730469,827.9702270507812,5030.727,139.434483882986,152.73604567805558,5030.727,4.895642905228669
18213,75.88121259633911,758.8061462402344,828.2992065429687,5032.875,139.977316123747,152.79673267512896,5032.875,6.702882925965241
18214,75.88537891779062,761.2443664550781,827.8772094726562,5033.928,140.4270957196076,152.7188866829647,5033.928,4.514407106573344
18215,75.88954523924212,763.29287109375,827.867999267578,5035.03,140.80498430526168,152.7171876722303,5035.03,3.138775756558971
18216,75.89371156069365,765.3001403808594,827.4019836425781,5035.426,141.17526618679275,152.6312215571923,5035.426,3.2174821831267764
18217,75.89787788214515,768.1402160644532,827.3535705566406,5036.566,141.69917624438463,152.6222907731332,5036.566,2.2421096694924927
18218,75.90204420359666,770.5010192871093,826.9999267578124,5036.497,142.1346746923625,152.55705394015675,5036.497,7.1919911789464095
18219,75.90621052504817,772.8499999999999,826.8499999999999,5040.0,142.56799223656802,152.529396882715,5040.0,7.338291238167585
18220,75.91037684649967,775.55,826.8499999999999,5040.0,143.06606246887537,152.529396882715,5040.0,0.0
18221,75.91454316795118,778.5999999999999,826.8499999999999,5040.0,143.62869736092625,152.529396882715,5040.0,2.6664982451857213
18222,75.9187094894027,780.7557495117187,826.89013671875,5041.273,144.02636945725894,152.5368009215416,5041.273,5.214470176113537
18223,75.92287581085421,783.2531127929686,826.9283874511718,5042.49,144.487059201573,152.54385705160948,5042.49,7.522502039759274
18224,75.92704213230571,785.644219970703,826.9303833007812,5044.864,144.9281478339752,152.54422522689785,5044.864,4.560648574153674
18225,75.93120845375722,787.866748046875,826.9575012207031,5044.667,145.33813860257098,152.54922768196275,5044.667,0.6909997478942387
18226,75.93537477520873,790.6036804199218,826.959423828125,5045.194,145.8430217665906,152.54958234623135,5045.194,6.283430262497859
18227,75.93954109666024,792.7114562988281,826.9861572265625,5047.667,146.2318441449827,152.5545138684425,5047.667,7.099019346773275
18228,75.94370741811176,794.8402709960938,826.9457275390624,5048.584,146.6245475637999,152.54705578553686,5048.584,4.903872754850454
18229,75.94787373956326,797.3713256835937,827.3625793457031,5050.008,147.091452377202,152.62395262856325,5050.008,4.264584228354579
18230,75.95204006101477,800.0245300292968,827.4858459472656,5050.62,147.58089019380316,152.6466916748136,5050.62,2.727054557408337
18231,75.95620638246628,802.457696533203,827.8615539550781,5051.31,148.0297375293006,152.71599870249173,5051.31,5.347296852887666
18232,75.96037270391778,805.1009948730468,828.2821411132811,5053.173,148.5173479804797,152.79358460752567,5053.173,3.9014141481566185
18233,75.9645390253693,807.3089111328125,828.7255065917968,5053.173,148.92464330063402,152.87537243970397,5053.173,3.683906413702061
18234,75.96870534682081,809.93466796875,829.182568359375,5054.931,149.40901786258144,152.95968683257672,5054.931,6.46719561349164
