frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s
16751,69.78998364317322,345.67308044433594,834.4653930664062,5748.69,63.76647091826182,153.93421191741749,5748.69,24.38796227846069
16752,69.79414996062549,353.3470245361328,832.9703002929687,5754.289,65.1820868873414,153.65841147112596,5754.289,23.689451123518666
16753,69.79831627807778,360.35,832.35,5760.0,66.47392896738991,153.5439843929707,5760.0,11.96122898291651
16754,69.80248259553005,368.35,832.8499999999999,5760.0,67.94969261867094,153.63621962117574,5760.0,9.977792369949384
16755,69.80664891298234,376.8872436523437,833.2030944824218,5764.764,69.52456185170327,153.701355121504,5764.764,19.81950045022495
16756,69.81081523043461,384.5824279785156,833.6554138183593,5769.462,70.94409601651226,153.78479467584754,5769.462,16.264650446919404
16757,69.8149815478869,392.5023376464843,833.9894165039062,5772.529,72.40508536768944,153.84640830369258,5772.529,18.79383647839313
16758,69.81914786533918,399.7200073242187,835.4400146484375,5778.435,73.73653218735865,154.11400080548194,5778.435,16.813642868744864
16759,69.82331418279146,407.67601623535154,837.7472595214842,5780.556,75.20418078239838,154.5396193202628,5780.556,17.028989475558774
16760,69.82748050024375,415.8299926757812,839.9399780273437,5786.565,76.70834853792188,154.94411110381765,5786.565,12.586288659453205
16761,69.83164681769603,423.3900146484375,842.6700073242187,5786.565,78.10294924168838,155.4477208542252,5786.565,12.370830190440756
16762,69.83581313514831,431.6961578369141,846.5702880859375,5792.471,79.63518726667454,156.16720742646712,5792.471,19.819498452668995
16763,69.83997945260059,438.91376953125,850.5872985839843,5796.027,80.96662339011976,156.90822718644608,5796.027,18.25364820631694
16764,69.84414577005288,447.0075469970704,856.0128295898437,5801.186,82.45968621332166,157.90907736736426,5801.186,18.793806515286636
16765,69.84831208750515,454.6249816894531,861.9749816894531,5805.0,83.86487786769986,159.00891828636583,5805.0,19.95009350734472
16766,69.85247840495744,462.8128753662109,868.6213195800781,5810.711,85.37530235128898,160.23497127050535,5810.711,23.68945312106007
16767,69.85664472240971,470.7807678222656,875.8961608886718,5816.31,86.84514310928421,161.5769645670129,5816.31,13.728209356610025
16768,69.860811039862,478.8202087402343,884.1369812011718,5817.265,88.32818244470417,163.09715245125363,5817.265,14.923847851825483
16769,69.86497735731429,486.4099945068359,892.9199890136719,5823.435,89.72827368912426,164.71735791107923,5823.435,22.901648011962607
16770,69.86914367476656,494.37067260742185,903.151708984375,5828.199,91.19678361167348,166.60480796393549,5828.199,26.24243482671409
16771,69.87330999221885,501.2794128417968,912.8176330566406,5835.964,92.47124207592763,168.38788538917197,5835.964,32.38458524136513
16772,69.87747630967112,508.4176940917969,919.8091552734376,5843.66,93.788044076099,169.67761468350602,5843.66,34.85117741348586
16773,69.88164262712341,516.3431884765624,922.1996887207032,5852.603,95.25006364253262,170.1185974795868,5852.603,35.86853162628904
16774,69.88580894457569,524.3217651367187,917.7731872558592,5860.784,96.72187532053483,169.30203873406697,5860.784,33.16204310240028
16775,69.88997526202797,531.5,909.0000183105468,5868.435,98.04604758198346,167.683648254562,5868.435,26.00262636663137
16776,69.89414157948025,538.173272705078,898.9456909179687,5873.199,99.27706924363844,165.82892189155626,5873.199,23.68951704227038
16777,69.89830789693254,545.4799926757812,889.9099853515625,5879.745,100.62494321149508,164.16210116173374,5879.745,23.420896090668972
16778,69.90247421438482,551.5977294921875,882.0879028320312,5884.38,101.75348491421458,162.71915802927813,5884.38,18.166555539313777
