frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s
6356,26.480865379500333,771.231085205078,835.5771057128906,1065.466,143.30299052710177,155.2591698670927,1065.466,9.26007084043158
6357,26.485031657879738,774.6598937988281,835.137548828125,1068.232,143.94009986418035,155.17749549309244,1068.232,7.642880680226881
6358,26.489197936259146,777.9703247070313,834.7556884765625,1069.114,144.55521336022508,155.10654175251793,1069.114,6.330054280088916
6359,26.49336421463855,780.9890014648437,834.1786010742187,1071.254,145.11611581232756,154.99931273628945,1071.254,5.771529361669764
6360,26.497530493017955,784.143994140625,834.6079772949219,1071.87,145.7023472210503,155.07909543393785,1071.87,5.039474671902099
6361,26.50169677139736,787.4652465820312,834.1371826171875,1073.66,146.3194714737928,154.99161674364927,1073.66,5.067906899002537
6362,26.505863049776767,790.4286987304687,834.0371337890624,1074.289,146.87011260237506,154.9730266005079,1074.289,8.065471347601033
6363,26.51002932815617,793.8400756835937,833.9221618652343,1077.51,147.5039829540454,154.95166358645506,1077.51,7.163421563538577
6364,26.514195606535576,796.8226806640624,833.917071533203,1077.709,148.05818288382204,154.95071774827912,1077.709,1.0779626408721017
6365,26.51836188491498,799.84677734375,833.9070007324218,1078.025,148.6200924154212,154.9488464857008,1078.025,4.797904614501476
6366,26.52252816329439,803.3499999999999,833.3499999999999,1080.0,149.27102868180552,154.8453497877421,1080.0,4.1367262422854765
6367,26.526694441673797,806.3499999999999,833.3499999999999,1080.0,149.82846079239917,154.8453497877421,1080.0,4.136739975495402
6368,26.5308607200532,809.7890808105469,833.3168579101562,1081.975,150.46747881730764,154.83919163271173,1081.975,0.0
6369,26.535026998432603,812.8499999999999,833.3499999999999,1080.0,151.0362303653521,154.8453497877421,1080.0,7.081463049622926
6370,26.539193276812007,816.0761474609375,833.3712036132812,1085.356,151.63568309476435,154.8492896460433,1085.356,4.99765082290196
6371,26.54335955519141,819.6654113769531,833.7798156738281,1082.386,152.30260674815844,154.92521414048488,1082.386,-5.766913506898618
6372,26.54752583357082,822.7228881835937,833.7965148925781,1082.603,152.87071866463072,154.92831703406924,1082.603,12.031654166209591
6373,26.551692111950224,825.5229736328124,833.8889831542969,1088.13,153.3910045118976,154.94549862683348,1088.13,15.038830858934944
6374,26.55585839032963,828.5226440429688,834.2987304687499,1089.782,153.9483753811705,155.02163406360205,1089.782,5.9149259861578685
6375,26.56002466870904,831.6192138671875,834.7424255371094,1090.954,154.52375119874213,155.10407735640726,1090.954,6.162199568085271
6376,26.56419094708844,834.6802612304688,835.2874877929687,1092.724,155.09252656285582,155.2053557576368,1092.724,6.455884388603863
6377,26.56835722546785,837.8676513671874,835.92939453125,1094.036,155.68477776658798,155.32462890027827,1094.036,6.111859134941824
6378,26.57252350384725,840.9672607421874,836.6668395996094,1095.642,156.2607183652287,155.46165408724576,1095.642,5.577970086605546
6379,26.57668978222665,844.8334838867188,837.2550415039062,1096.699,156.97910400772278,155.57094829690155,1096.699,7.086698896125199
6380,26.580856060606063,848.3558959960936,838.3778686523436,1099.026,157.6336058798926,155.77958159929665,1099.026,9.086842700181023
6381,26.585022338985468,851.5920288085937,839.3507873535156,1101.037,158.2349139945037,155.9603603076401,1101.037,5.814165217590016
6382,26.589188617364872,855.6448364257811,840.7879272460937,1101.801,158.98796902912997,156.22739628215282,1101.801,5.68056061735706
6383,26.59335489574428,859.535595703125,842.3236694335938,1103.75,159.71091374772385,156.51275361845478,1103.75,8.186659633106501
6384,26.597521174123685,864.3968017578125,844.0336303710938,1105.71,160.61417786475556,156.83048266326256,1105.71,5.897407411546737
6385,26.60168745250309,868.0599853515623,845.7299926757812,1106.565,161.29483658547426,157.1456849365404,1106.565,8.451779388988143
6386,26.60585373088249,872.5946289062499,848.1469360351562,1109.745,162.13742189463406,157.59477888254094,1109.745,11.395307424660588
6387,26.6100200092619,877.6382080078124,850.4488891601561,1112.005,163.07457287581076,158.02250641219308,1112.005,9.513413000423498
6388,26.614186287641303,882.4815795898437,852.8669860839843,1114.287,163.9745231569311,158.4718147028163,1114.287,9.349797104306615
6389,26.61835256602071,887.43525390625,856.2934326171875,1116.469,164.89496886672708,159.10848514376286,1116.469,10.861708022084713
6390,26.62251884440012,892.3772094726562,859.9312561035156,1119.472,165.81323710734105,159.78443168507988,1119.472,14.233016877522005
6391,26.62668512277952,897.7393493652343,863.9987854003906,1123.264,166.8095800932138,160.5402221653661,1123.264,11.577960038680883
6392,26.630851401158925,902.3499816894532,868.549981689453,1125.0,167.6662849291007,161.38588314974544,1125.0,11.12648020304232
6393,26.635017679538333,907.2189697265624,874.1215026855468,1128.576,168.5709950217611,162.4211313857686,1128.576,14.9239958033545
6394,26.639183957917737,912.5869506835936,880.5546508789062,1132.125,169.56842333992924,163.6164791774973,1132.125,16.198772738376192
6395,26.64335023629714,917.849981689453,887.05,1136.31,170.5463508338346,164.82338456736863,1136.31,16.53330759888422
6396,26.647516514676543,923.9655883789062,894.0236694335938,1140.018,171.6826960153221,166.11916699101886,1140.018,16.590789298181335
6397,26.651682793055954,929.1599182128906,902.08486328125,1144.231,172.64785809614796,167.61702309115338,1144.231,18.734223856207336
6398,26.65584907143536,934.7301391601562,909.8383911132812,1148.962,173.68286476918374,169.057711552472,1148.962,27.73334583971655
6399,26.660015349814763,940.6417724609374,916.262939453125,1157.471,174.78130951182047,170.2514613993687,1157.471,32.10376077838691
