frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s,y_up_mm,y_physical_mm,y_physical_mm_interp,v_mm_s,v_m_s,omega_rad_s_energy,ep_j,ek_trans_j,ek_rot_j,e_total_j,ep_j_per_kg,ek_trans_j_per_kg,ek_rot_j_per_kg,e_total_j_per_kg
15211,63.37413766757246,45.0,838.0,34.669,8.301170538455796,154.58624247168794,34.669,3.9286779019794342,22.689866138445836,91.41305903398926,91.41305903398926,37.99943735516599,0.03799943735516599,3.9286779019794342,0.8967621091234347,0.0007219786196545923,0.02175558503063413,0.9192396727737234,0.8967621091234347,0.0007219786196545923,0.02175558503063413,0.9192396727737234
15212,63.37830400362319,45.0,843.0,35.607,8.301170538455796,155.50859475373858,35.607,0.418282611273483,21.767513856395198,91.25474060822897,91.25474060822897,9.499859338791794,0.009499859338791794,0.418282611273483,0.8952090053667262,4.5123663728414835e-05,0.0002466138933230471,0.8955007429237777,0.8952090053667262,4.5123663728414835e-05,0.0002466138933230471,0.8955007429237777
15213,63.38247033967392,45.0,835.5,34.869,8.301170538455796,154.1250663306626,34.869,-7.419713818045679,23.15104227947117,91.4922182468694,91.4922182468694,65.54053343152664,0.06554053343152665,-7.419713818045679,0.8975386610017888,0.002147780761244531,0.07759830369293755,0.9772847454559709,0.8975386610017888,0.002147780761244531,0.07759830369293755,0.9772847454559709
15214,63.38663667572464,45.5,826.0,32.064,8.39340576666086,152.37259699476638,32.064,-10.57371917782963,24.903511615367393,91.79302325581395,91.79302325581395,43.9779222200098,0.043977922220009805,-10.57371917782963,0.9004895581395349,0.000967028821394616,0.157591744236852,1.0590483311977816,0.9004895581395349,0.000967028821394616,0.157591744236852,1.0590483311977816
15215,63.39080301177536,46.0,825.5,29.821,8.485640994865925,152.28036176656133,29.821,-10.162390179440557,24.995746843572448,91.80885509838997,91.80885509838997,46.23079466862863,0.04623079466862863,-10.162390179440557,0.9006448685152056,0.0010686431878464506,0.14556925156796807,1.0472827632710202,0.9006448685152056,0.0010686431878464506,0.14556925156796807,1.0472827632710202
15216,63.39496934782608,47.5,822.5,27.213,8.762346679481118,151.72695039733094,27.213,-9.559074839865907,25.549158212802837,91.90384615384615,91.90384615384615,56.507377157425395,0.0565073771574254,-9.559074839865907,0.9015767307692307,0.0015965418366057607,0.12879815500352296,1.0319714276093594,0.9015767307692307,0.0015965418366057607,0.12879815500352296,1.0319714276093594
15217,63.399135683876814,48.5,822.5,25.257,8.946817135891246,151.72695039733094,25.257,-7.169306129884575,25.549158212802837,91.90384615384615,91.90384615384615,44.276422776267964,0.04427642277626796,-7.169306129884575,0.9015767307692307,0.0009802008069314102,0.07244896218918143,0.9750058937653435,0.9015767307692307,0.0009802008069314102,0.07244896218918143,0.9750058937653435
15218,63.40330201992754,49.5,822.5,23.79,9.131287592301376,151.72695039733094,23.79,-6.106802903507983,25.549158212802837,91.90384615384615,91.90384615384615,44.43918525651258,0.04443918525651258,-6.106802903507983,0.9015767307692307,0.0009874205931313226,0.05256609615612033,0.9551302475184823,0.9015767307692307,0.0009874205931313226,0.05256609615612033,0.9551302475184823
15219,63.40746835597826,50.5,821.5,22.341,9.315758048711505,151.5424799409208,22.341,-5.309925483713748,25.733628669212976,91.9355098389982,91.9355098389982,33.42402549356851,0.03342402549356851,-5.309925483713748,0.9018873515205724,0.0005585827400973588,0.03974246233626115,0.9421883965969309,0.9018873515205724,0.0005585827400973588,0.03974246233626115,0.9421883965969309
15220,63.41163469202898,51.0,821.5,21.255,9.407993276916567,151.5424799409208,21.255,-3.252620806701998,25.733628669212976,91.9355098389982,91.9355098389982,44.43918525643614,0.04443918525643614,-3.252620806701998,0.9018873515205724,0.0009874205931279256,0.014912305421387545,0.9177870775350879,0.9018873515205724,0.0009874205931279256,0.014912305421387545,0.9177870775350879
