frame_index,timestamp,x,y,theta,x_mm,y_mm,theta_unwrapped,omega_rad_s,y_up_mm,y_physical_mm,y_physical_mm_interp,v_mm_s,v_m_s,omega_rad_s_energy,ep_j,ek_trans_j,ek_rot_j,e_total_j,ep_j_per_kg,ek_trans_j_per_kg,ek_rot_j_per_kg,e_total_j_per_kg
4852,20.21510854206808,193.17932128906247,832.6747436523436,1814.797,35.63587756719227,153.60389000273483,1814.797,0.5005317666118572,19.565419175447232,26.088265477701015,26.088265477701015,38.36951914189617,0.03836951914189617,0.5005317666118572,0.25592588433624697,0.0007361099995901684,5.219417695574723e-05,0.2567141885127929,0.25592588433624697,0.0007361099995901684,5.219417695574723e-05,0.2567141885127929
4853,20.219274887604367,192.31317443847652,832.2077026367186,1815.403,35.476099062346485,153.51773473342024,1815.403,1.1831279283251206,19.65157444476182,26.093390391239865,26.093390391239865,49.61286817791248,0.04961286817791248,1.1831279283251206,0.2559761597380631,0.0012307183444194604,0.0002916232697464358,0.25749850135222896,0.2559761597380631,0.0012307183444194604,0.0002916232697464358,0.25749850135222896
4854,20.22344123314065,190.9383773803711,833.0522827148437,1815.362,35.22248962156647,153.67353480590688,1815.362,-0.9147185275396624,19.49577437227518,26.084122682982517,26.084122682982517,50.78922255711769,0.05078922255711769,-0.9147185275396624,0.25588524352005854,0.0012897725639782161,0.00017431458013006843,0.2573493306641668,0.25588524352005854,0.0012897725639782161,0.00017431458013006843,0.2573493306641668
4855,20.227607578676945,190.01986389160157,833.2775573730469,1814.967,35.05305101907429,153.71509132492324,1814.967,-0.6936804266601939,19.454217853258825,26.08165070920043,26.08165070920043,41.3514208664413,0.0413514208664413,-0.6936804266601939,0.25586099345725627,0.0008549700038367785,0.00010024844465238932,0.25681621190574544,0.25586099345725627,0.0008549700038367785,0.00010024844465238932,0.25681621190574544
4856,20.23177392421323,189.07059326171876,833.3698974609374,1815.03,34.87793863272307,153.73212534308135,1815.03,0.2992192228275598,19.43718383510071,26.080637447086875,26.080637447086875,44.234841846970475,0.04423484184697048,0.2992192228275598,0.25585105335592223,0.0009783606166132452,1.8652529856151854e-05,0.25684806650239167,0.25585105335592223,0.0009783606166132452,1.8652529856151854e-05,0.25684806650239167
4857,20.23594026974952,188.0217498779297,833.3953857421875,1815.11,34.684458015012765,153.73682717795668,1815.11,0.0797252085949367,19.432482000225377,26.080357760221503,26.080357760221503,33.326367983700734,0.033326367983700735,0.0797252085949367,0.25584830962777294,0.0005553234014925167,1.3241893511471188e-06,0.2564049572186166,0.25584830962777294,0.0005553234014925167,1.3241893511471188e-06,0.2564049572186166
4858,20.240106615285804,187.5652420043945,833.5291076660155,1815.068,34.60024579922692,153.76149492227728,1815.068,1.0502485856154635,19.407814255904782,26.078890408800664,26.078890408800664,14.15324279950636,0.01415324279950636,1.0502485856154635,0.2558339149103345,0.00010015714087088932,0.00022979626908068373,0.25616386832028615,0.2558339149103345,0.00010015714087088932,0.00022979626908068373,0.25616386832028615
4859,20.24427296082209,187.38244628906247,833.4575866699219,1815.611,34.5665253901898,153.74830141148496,1815.611,0.3908956221171138,19.4210077666971,26.07967521978927,26.07967521978927,40.3566307467923,0.0403566307467923,0.3908956221171138,0.25584161390613275,0.0008143288226164708,3.183320570631781e-05,0.2566877759344555,0.25584161390613275,0.0008143288226164708,3.183320570631781e-05,0.2566877759344555
4860,20.24843930635838,185.74229888916017,833.5615356445312,1815.255,34.263966650749936,153.76747692627453,1815.255,-0.7453983404639075,19.401832251907535,26.078534571560308,26.078534571560308,58.95932024816479,0.05895932024816479,-0.7453983404639075,0.25583042414700663,0.0017381007220628273,0.00011575389290965572,0.2576842787619791,0.25583042414700663,0.0017381007220628273,0.00011575389290965572,0.2576842787619791
4861,20.25260565189467,184.71923217773437,833.2461425781249,1815.255,34.075241067555204,153.70929622336595,1815.255,3.995049610239221e-06,19.460012954816108,26.081995428619987,26.081995428619987,42.925141087037396,0.0429251410870374,3.995049610239221e-06,0.25586437515476207,0.0009212838686710331,3.3250877892234486e-15,0.2567856590234364,0.25586437515476207,0.0009212838686710331,3.3250877892234486e-15,0.2567856590234364
4862,20.25677199743096,183.80346069335937,833.1873107910155,1815.255,33.90630828386517,153.69844349674648,1815.255,1.0390185013634436,19.470865681435583,26.082640998949326,26.082640998949326,18.02804684824248,0.01802804684824248,1.0390185013634436,0.25587070819969293,0.00016250523658121278,0.0002249082179532368,0.2562581216542274,0.25587070819969293,0.00016250523658121278,0.0002249082179532368,0.2562581216542274
4863,20.260938342967243,183.90489501953124,833.1962463378906,1815.751,33.92501992030975,153.70009184115676,1815.751,-0.5604115666214966,19.4692173370253,26.082542947806868,26.082542947806868,24.251549395935697,0.024251549395935698,-0.5604115666214966,0.25586974631798537,0.00029406882405175454,6.54294008339917e-05,0.2562292445428711,0.25586974631798537,0.00029406882405175454,6.54294008339917e-05,0.2562292445428711
